genus,family
Stenodactylus,Gekkonidae
Stenolepis,Gymnophthalmidae
Stenorrhina,Colubridae
Stichophanes,Colubridae
Stoliczkia,Xenodermidae
Storeria,Colubridae
Strobilurus,Tropiduridae
Strophurus,Diplodactylidae
Subsessor,Homalopsidae
Sumatranus,Homalopsidae
Suta,Elapidae
Symphimus,Colubridae
Sympholis,Colubridae
Synophis,Colubridae
Tachygyia,Scincidae
Tachymenis,Colubridae
Taeniophallus,Colubridae
Takydromus,Lacertidae
Tantalophis,Colubridae
Tantilla,Colubridae
Tantillita,Colubridae
Tarentola,Phyllodactylidae
Techmarscincus,Scincidae
Teira,Lacertidae
Teius,Teiidae
Telescopus,Colubridae
Tenuidactylus,Gekkonidae
Teratoscincus,Sphaerodactylidae
Teretrurus,Uropeltidae
